date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,weather_code,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2021-01-01 00:00:00,15.024,48.43211,4.224,0.0,0.0,0.0,0.0,1007.7325,0.0,32.058197,335.44955
2021-01-01 01:00:00,13.374,53.3279,4.074,0.0,0.0,0.0,0.0,1008.1995,0.0,28.174458,333.43503
2021-01-01 02:00:00,12.474,55.18637,3.724,0.0,0.0,0.0,0.0,1008.8794,0.0,29.168886,335.9657
2021-01-01 03:00:00,11.674,57.356663,3.524,0.0,0.0,0.0,0.0,1009.1626,15.900001,28.61264,338.6001
2021-01-01 04:00:00,11.424,57.292976,3.274,0.0,0.0,0.0,1.0,1009.2576,22.5,28.006058,342.03076
2021-01-01 05:00:00,11.424,56.28957,3.024,0.0,0.0,0.0,1.0,1009.5561,24.900002,26.554728,344.2679
2021-01-01 06:00:00,11.324,55.47192,2.724,0.0,0.0,0.0,1.0,1009.85266,25.800001,24.569832,349.01938
2021-01-01 07:00:00,11.024,55.393387,2.424,0.0,0.0,0.0,1.0,1009.8469,27.300001,22.963936,346.39944
2021-01-01 08:00:00,10.574,56.069077,2.174,0.0,0.0,0.0,1.0,1010.23627,23.1,21.9718,341.86182
2021-01-01 09:00:00,10.274,55.99093,1.874,0.0,0.0,0.0,0.0,1010.529,19.2,20.60823,340.6154
2021-01-01 10:00:00,10.324,54.230335,1.474,0.0,0.0,0.0,1.0,1010.7288,20.400002,21.9718,341.86182
2021-01-01 11:00:00,10.374,52.33179,1.0239999,0.0,0.0,0.0,0.0,1010.9288,10.200001,22.104116,343.92636
2021-01-01 12:00:00,10.324,54.230335,1.474,0.0,0.0,0.0,0.0,1010.9278,0.0,16.923828,358.78116
2021-01-01 13:00:00,10.124,53.021633,0.974,0.0,0.0,0.0,0.0,1011.1229,0.0,19.201874,353.54126
2021-01-01 14:00:00,10.124,52.452194,0.824,0.0,0.0,0.0,0.0,1011.6203,0.0,20.06334,350.70676
2021-01-01 15:00:00,9.924,52.02083,0.524,0.0,0.0,0.0,0.0,1012.61115,0.0,19.881649,354.80566
2021-01-01 16:00:00,10.574,51.453457,0.974,0.0,0.0,0.0,0.0,1013.61835,0.0,15.484185,17.592522
2021-01-01 17:00:00,12.324,49.940727,2.174,0.0,0.0,0.0,0.0,1014.8451,0.0,10.464797,63.435013
2021-01-01 18:00:00,14.274,48.564053,3.574,0.0,0.0,0.0,0.0,1015.1794,0.0,9.531505,79.11452
2021-01-01 19:00:00,16.274,42.114452,3.374,0.0,0.0,0.0,0.0,1015.0174,0.0,6.193674,35.537766
2021-01-01 20:00:00,17.924002,33.38238,1.574,0.0,0.0,0.0,0.0,1014.45013,0.0,6.28713,23.629398
2021-01-01 21:00:00,18.924002,28.657742,0.324,0.0,0.0,0.0,0.0,1013.87134,0.0,3.6179552,354.2895
2021-01-01 22:00:00,19.474,25.846773,-0.62600005,0.0,0.0,0.0,0.0,1013.9807,0.0,4.68,270.0
2021-01-01 23:00:00,19.424002,30.068367,1.424,0.0,0.0,0.0,0.0,1013.97974,0.6,5.95906,205.01686
2021-01-02 00:00:00,15.874,60.633636,8.274,0.0,0.0,0.0,0.0,1013.9158,12.0,13.493999,226.08084
2021-01-02 01:00:00,13.824,68.72435,8.174,0.0,0.0,0.0,1.0,1014.17645,21.0,10.041354,255.4655
2021-01-02 02:00:00,13.174,66.28701,7.024,0.0,0.0,0.0,1.0,1014.7611,25.2,11.440979,294.14554
2021-01-02 03:00:00,11.574,72.378716,6.774,0.0,0.0,0.0,1.0,1015.3284,28.2,9.021574,331.38962
2021-01-02 04:00:00,11.074,71.789085,6.174,0.0,0.0,0.0,1.0,1015.71674,27.6,11.090103,35.75398
2021-01-02 05:00:00,10.124,76.74099,6.224,0.0,0.0,0.0,1.0,1016.0965,21.0,10.787993,64.2901
2021-01-02 06:00:00,9.224,76.06451,5.224,0.0,0.0,0.0,1.0,1016.97485,25.500002,12.181625,18.970512
2021-01-02 07:00:00,8.274,76.97557,4.474,0.0,0.0,0.0,0.0,1016.75745,8.700001,8.942214,40.10085
2021-01-02 08:00:00,8.524,71.80464,3.724,0.0,0.0,0.0,1.0,1017.35895,22.2,13.276144,12.528798
2021-01-02 09:00:00,8.524,67.62298,2.874,0.0,0.0,0.0,0.0,1017.06055,0.0,12.88981,54.090195
2021-01-02 10:00:00,7.924,69.19518,2.624,0.0,0.0,0.0,0.0,1016.94965,0.3,14.654254,62.17599
2021-01-02 11:00:00,7.124,73.85877,2.774,0.0,0.0,0.0,1.0,1017.133,27.300001,12.904882,59.8587
2021-01-02 12:00:00,7.824,75.2987,3.724,0.0,0.0,0.0,1.0,1017.44507,29.400002,13.276144,49.398785
2021-01-02 13:00:00,7.424,76.56763,3.574,0.0,0.0,0.0,1.0,1018.03424,29.7,12.819235,51.842735
2021-01-02 14:00:00,8.074,73.251945,3.574,0.0,0.0,0.0,1.0,1019.24023,23.400002,12.229406,47.385983
2021-01-02 15:00:00,7.574,73.67911,3.174,0.0,0.0,0.0,0.0,1019.4297,15.900001,13.044722,50.59937
2021-01-02 16:00:00,8.724,72.34894,4.024,0.0,0.0,0.0,1.0,1019.75,31.800001,14.4,53.13002
2021-01-02 17:00:00,10.974,75.57177,6.824,0.0,0.0,0.0,1.0,1019.9922,21.0,13.527572,64.79892
2021-01-02 18:00:00,13.724,76.79673,9.724,0.0,0.0,0.0,0.0,1019.9445,11.700001,13.910169,79.56258
2021-01-02 19:00:00,15.374,74.0505,10.774,0.0,0.0,0.0,0.0,1019.1791,9.3,11.966954,105.7087
2021-01-02 20:00:00,16.024,70.79803,10.724,0.0,0.0,0.0,1.0,1018.49457,20.1,9.422101,136.54811
2021-01-02 21:00:00,15.974,71.02437,10.724,0.0,0.0,0.0,1.0,1017.99615,25.2,10.948973,170.53775
2021-01-02 22:00:00,15.374,72.58627,10.474,0.0,0.0,0.0,1.0,1017.7863,28.500002,13.450708,195.52417
2021-01-02 23:00:00,14.424,75.888176,10.224,0.0,0.0,0.0,1.0,1018.1667,25.500002,12.538134,219.17365
2021-01-03 00:00:00,13.124,80.93419,9.924,0.0,0.0,0.0,1.0,1017.7448,28.500002,11.013882,258.6901
2021-01-03 01:00:00,12.424,84.44571,9.874,0.0,0.0,0.0,2.0,1017.8312,68.100006,9.007196,272.29056
2021-01-03 02:00:00,12.174,85.8442,9.874,0.0,0.0,0.0,2.0,1017.8265,66.0,7.628263,289.29013
2021-01-03 03:00:00,11.024,91.38695,9.674,0.0,0.0,0.0,3.0,1017.70526,80.100006,6.489992,273.17978
2021-01-03 04:00:00,11.174,92.010796,9.924,0.0,0.0,0.0,2.0,1017.7081,74.4,6.924738,261.02747
2021-01-03 05:00:00,11.174,91.09099,9.774,0.0,0.0,0.0,0.0,1018.1061,0.0,6.0347,252.64589
2021-01-03 06:00:00,12.324,87.01504,10.224,0.0,0.0,0.0,0.0,1018.0283,0.0,2.6208394,164.05453
2021-01-03 07:00:00,11.524,91.114395,10.124,0.0,0.0,0.0,0.0,1018.1127,0.9,3.4152596,108.43504
2021-01-03 08:00:00,8.274,98.98722,8.124,0.0,0.0,0.0,0.0,1017.95105,5.3999996,7.8954163,65.77226
2021-01-03 09:00:00,8.174,98.31574,7.924,0.0,0.0,0.0,1.0,1018.148,36.0,10.630672,61.69934
2021-01-03 10:00:00,7.824,98.31107,7.574,0.0,0.0,0.0,3.0,1018.0418,100.0,12.245293,65.695465
2021-01-03 11:00:00,7.574,98.30774,7.324,0.0,0.0,0.0,3.0,1017.6392,100.0,12.245293,65.695465
2021-01-03 12:00:00,8.274,100.0,8.274,0.0,0.0,0.0,3.0,1017.85156,100.0,10.182337,44.999897
2021-01-03 13:00:00,8.074,99.32272,7.974,0.0,0.0,0.0,3.0,1017.4499,100.0,9.904906,70.90642
2021-01-03 14:00:00,7.874,98.98399,7.724,0.0,0.0,0.0,3.0,1017.94336,100.0,5.7599998,90.0
2021-01-03 15:00:00,8.024,98.985214,7.874,0.0,0.0,0.0,3.0,1018.4436,100.0,7.968939,71.564964
2021-01-03 16:00:00,8.574,97.98826,8.274,0.0,0.0,0.0,3.0,1018.5535,100.0,8.707237,60.255207
2021-01-03 17:00:00,9.674,95.72317,9.024,0.0,0.0,0.0,3.0,1018.87335,92.7,10.365251,69.67678
2021-01-03 18:00:00,11.474,88.70289,9.674,0.0,0.0,0.0,1.0,1018.808,21.3,9.178235,78.6901
2021-01-03 19:00:00,13.374,76.999275,9.424,0.0,0.0,0.0,0.0,1017.8488,18.6,6.763786,115.20109
2021-01-03 20:00:00,14.424,70.490654,9.124,0.0,0.0,0.0,0.0,1016.6745,13.2,6.9247384,152.10283
