date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,weather_code,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2021-01-01 00:00:00,4.5955,80.59719,1.5455,0.0,0.0,0.0,3.0,1026.8735,87.600006,8.759178,350.53775
2021-01-01 01:00:00,4.5955,75.54896,0.6455,0.0,0.0,0.0,2.0,1027.5734,78.3,9.422101,6.581848
2021-01-01 02:00:00,3.7955,66.59547,-1.8544999,0.0,0.0,0.0,2.0,1028.573,56.100002,11.165805,1.8475709
2021-01-01 03:00:00,2.2455,65.0238,-3.6545,0.0,0.0,0.0,0.0,1029.3723,9.900001,11.159999,360.0
2021-01-01 04:00:00,0.8455,66.18124,-4.7545004,0.0,0.0,0.0,1.0,1029.9716,27.000002,11.609651,352.87506
2021-01-01 05:00:00,0.09550001,68.55911,-5.0045004,0.0,0.0,0.0,1.0,1030.1713,24.6,11.966953,6.9111314
2021-01-01 06:00:00,-0.30449998,70.04694,-5.1045003,0.0,0.0,0.0,0.0,1030.6709,0.0,10.8955765,7.59456
2021-01-01 07:00:00,-0.80450004,72.92078,-5.0545,0.0,0.0,0.0,0.0,1031.6708,0.90000004,10.739833,13.5704565
2021-01-01 08:00:00,-1.1545,75.37842,-4.9545,0.0,0.0,0.0,1.0,1031.7704,25.500002,11.043261,19.025702
2021-01-01 09:00:00,-1.7544999,79.97058,-4.7545004,0.0,0.0,0.0,1.0,1032.0701,26.1,8.373386,25.463305
2021-01-01 10:00:00,-2.3044999,84.22805,-4.6045003,0.0,0.0,0.0,0.0,1032.1698,15.900001,7.7043357,37.405437
2021-01-01 11:00:00,-2.9045,87.06702,-4.7545004,0.0,0.0,0.0,1.0,1032.4692,30.000002,6.618519,44.999897
2021-01-01 12:00:00,-1.8544999,88.48471,-3.5045,0.0,0.0,0.0,0.0,1033.17,11.700001,5.8603754,42.510403
2021-01-01 13:00:00,-1.8544999,89.480545,-3.3545,0.0,0.0,0.0,2.0,1033.6699,75.0,5.1919937,33.6901
2021-01-01 14:00:00,0.19550002,78.488815,-3.1045,0.0,0.0,0.0,1.0,1034.0707,31.200003,8.14587,44.999897
2021-01-01 15:00:00,1.9955001,70.25782,-2.8545,0.0,0.0,0.0,1.0,1033.8717,36.600002,9.504273,65.37646
2021-01-01 16:00:00,2.9455001,65.42763,-2.9045,0.0,0.0,0.0,1.0,1032.5721,39.600002,11.609651,60.255207
2021-01-01 17:00:00,3.6955001,64.39759,-2.4045,0.0,0.0,0.0,3.0,1030.7728,90.00001,8.905908,75.96373
2021-01-01 18:00:00,3.9455001,65.4136,-1.9545,0.0,0.0,0.0,3.0,1030.173,90.00001,8.557102,67.75093
2021-01-01 19:00:00,4.0455,69.647766,-1.0044999,0.3,0.3,0.0,51.0,1028.6733,90.00001,10.636766,66.03751
2021-01-01 20:00:00,3.8455,82.247284,1.0955,0.6,0.6,0.0,53.0,1027.4731,85.200005,8.473393,77.735245
2021-01-01 21:00:00,3.9955,81.972115,1.1955,0.0,0.0,0.0,3.0,1026.3737,100.0,10.853866,84.2895
2021-01-01 22:00:00,3.7455,85.54501,1.5455,0.1,0.1,0.0,51.0,1026.5732,100.0,8.049845,63.435013
2021-01-01 23:00:00,3.4955,91.52616,2.2455,0.3,0.3,0.0,51.0,1024.2737,100.0,10.137692,73.49557
2021-01-02 00:00:00,3.2455,92.16457,2.0955,0.8,0.8,0.0,53.0,1023.37335,100.0,11.384199,71.564964
2021-01-02 01:00:00,3.9455001,93.192215,2.9455001,1.9,1.9,0.0,61.0,1021.574,100.0,11.91812,64.98315
2021-01-02 02:00:00,4.4455,93.8781,3.5455,3.0,3.0,0.0,63.0,1021.0743,100.0,3.8773184,338.19852
2021-01-02 03:00:00,4.4954996,94.21157,3.6455,4.0,4.0,0.0,63.0,1018.67456,100.0,8.913181,43.36347
2021-01-02 04:00:00,5.1454997,94.902954,4.3954997,2.2,2.2,0.0,61.0,1015.7753,100.0,14.471821,95.7105
2021-01-02 05:00:00,5.5455,95.58293,4.8954997,0.4,0.4,0.0,51.0,1013.7758,100.0,7.9036193,30.068504
2021-01-02 06:00:00,5.5455,97.26096,5.1454997,0.1,0.1,0.0,51.0,1012.77594,100.0,7.2359104,5.7105074
